red_wins,black_wins,epsilon,game_length,loss,mae,avg,med,std
13,10,0.993008,0.5714285714285714,0.008462263382513102,0.02023841692835049,-0.04485617409227416,0.018826301209628582,0.246617218029458
13,11,0.992704,0.9761904761904762,0.02117218320140246,0.029263344996252272,0.11632655229186639,0.027537107467651367,0.3786886217543001
14,11,0.9924,0.6428571428571429,0.024870344330395255,0.03354136163761723,0.08768045052420348,0.07124936953186989,0.39034926023511757
15,11,0.992096,0.42857142857142855,0.027305046966486834,0.03532343562983442,0.055310804629698396,0.06879349052906036,0.43383435296229306
16,11,0.991792,0.7857142857142857,0.023389785472375024,0.0328919748426415,-0.030650781700387597,0.07630321756005287,0.4000514051387942
16,12,0.991488,0.4523809523809524,0.008032347158734465,0.014815941583265158,0.06947893649339676,0.07454505935311317,0.2506508990740182
16,13,0.991184,0.2857142857142857,0.012280047717391163,0.018422232974671715,0.15502678486518562,0.06727246195077896,0.27178412721089407
16,14,0.99088,0.5952380952380952,0.018400561482309286,0.02734139346284792,0.07074653171002865,0.07952946797013283,0.35457666011782585
17,14,0.990576,0.30952380952380953,0.02290757614352821,0.030272288822231985,0.10416264343075454,0.08877803757786751,0.3895169937314062
18,14,0.990272,0.6666666666666666,0.03599959384071294,0.0399755879584518,-0.09593320521526039,0.07714732736349106,0.46282186767786465
18,15,0.989968,0.38095238095238093,0.019057788532109043,0.028244337605428882,-0.0008364622481167316,0.07033101096749306,0.3596526524224779
18,16,0.989664,0.5476190476190477,0.015566326396083241,0.025610243326809723,0.026884870720095932,0.06411093100905418,0.3110588723620073
19,16,0.98936,0.2619047619047619,0.01905060383191426,0.02702024944301229,-0.012222560471855104,0.057096075266599655,0.3574137475970828
19,17,0.989056,0.35714285714285715,0.025423355585758145,0.03316566249850439,0.12088261265307665,0.07740842550992966,0.42109122844976477
19,18,0.988752,0.6190476190476191,0.028117157459320197,0.03804999620842864,0.018361093709245324,0.09546296298503876,0.4419204139549747
20,18,0.988448,0.7619047619047619,0.015236806972097838,0.030991127132438123,0.15876933303661644,0.1456066071987152,0.2942469100604387
21,18,0.988144,0.30952380952380953,0.017474284322815947,0.02566356904571876,0.0759243592619896,0.11035879701375961,0.31778578406261665
22,18,0.98784,0.6190476190476191,0.011527495582488001,0.017464730080064328,0.01979743503034115,0.0898967869579792,0.26347564137653695
22,19,0.987536,0.38095238095238093,0.013893349195507332,0.017084498128497216,0.08867027994710952,0.06478387489914894,0.2992328356236629
23,19,0.987232,0.5238095238095238,0.01943491246794915,0.02363901914714006,0.20961389027070254,0.0558103509247303,0.3403840363574793
24,19,0.986928,0.2619047619047619,0.01716024604399724,0.02158808690319347,0.15744719305075705,0.10933243855834007,0.33245047305465253
24,20,0.986624,0.7380952380952381,0.005474819906186479,0.009788576921891945,0.06655725138261914,0.10171042755246162,0.1915751908195505
24,21,0.98632,0.23809523809523808,0.015914517188288513,0.020168610558016553,0.046670202165842056,0.08708494156599045,0.3135426206076522
24,22,0.986016,0.4523809523809524,0.005502566344375737,0.009746816307597328,0.035609798040241,0.06828491017222404,0.1860145063513686
25,22,0.985712,0.30952380952380953,0.008176614301703466,0.014176059696183074,0.11978451535105705,0.06147772818803787,0.2272990975088433
25,23,0.985408,0.7380952380952381,0.00021221684841540557,0.0039933762770623105,0.07608918636105955,0.07704741135239601,0.0027571777133719535
26,23,0.985104,0.16666666666666666,0.02597082302663889,0.029733988599673467,0.11467615549918264,0.06416988000273705,0.4215497706208716
27,23,0.9848,0.5714285714285714,0.0038022347592541195,0.009530475908832159,0.11093347822315991,0.08508894592523575,0.15985535843973148
28,23,0.984496,0.35714285714285715,0.026359396959614756,0.028721489968120295,-0.09943500580266118,0.06193676218390465,0.3877164467325505
29,23,0.984192,0.5714285714285714,0.0005256009154663843,0.006739168593412614,0.042378944461233914,0.041806891560554504,0.0023304606841145375
30,23,0.983888,0.6428571428571429,0.00023587873665514326,0.0049826053530352965,0.03540726221399382,0.03530712239444256,0.0026257790701561317
30,24,0.983584,0.21428571428571427,0.018873484329830603,0.02221386771361722,-0.037266799074131995,0.029115024022758007,0.3526205252717162
30,25,0.98328,0.3333333333333333,0.01777591064220807,0.023903469034848968,0.03969267732463777,0.04770110361278057,0.3538909231295604
31,25,0.982976,0.42857142857142855,0.02187671531035562,0.03001342339484836,0.02016187715344131,0.06237787939608097,0.3988203936857315
32,25,0.982672,0.35714285714285715,0.024518410212749586,0.032772622729680734,-0.03402968076989055,0.07332443818449974,0.399191711788164
32,26,0.982368,0.5476190476190477,0.012919229894981843,0.02103215799706959,0.08602876123040915,0.06454222276806831,0.2995153250962143
32,27,0.982064,0.47619047619047616,0.006389074635194447,0.016942523456236813,0.04918457008898258,0.08355490863323212,0.18846042161034277
33,27,0.98176,0.6190476190476191,0.01723512169201058,0.027420035483373795,0.006622711895033717,0.07907723262906075,0.36114069926463876
34,27,0.981456,0.40476190476190477,0.0151857519520604,0.028072261138731847,0.20810661790892482,0.09935830906033516,0.2994234989601977
35,27,0.981152,0.42857142857142855,0.021947808423920634,0.03144510306447046,0.20314780692569911,0.13344281166791916,0.3595143821261576
36,27,0.980848,0.40476190476190477,0.026870215544093412,0.03605558003164333,0.12332389317452908,0.15244809538125992,0.4370580113351195
37,27,0.980544,0.2857142857142857,0.018680835159216258,0.02883538148307707,0.18721510376781225,0.14258771389722824,0.32823505871456127
